Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2024-02-27,Garmin Connect calorie adjustment,Cardio,474.0,1,,,,9272,
2024-02-28,Garmin Connect calorie adjustment,Cardio,276.0,1,,,,7487,
2024-02-29,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,8490,
2024-03-01,"""Strength training (weight lifting, weight training)""",Cardio,508.0,59,,,,,
2024-03-01,Garmin Connect calorie adjustment,Cardio,655.0,1,,,,12194,
2024-03-02,Garmin Connect calorie adjustment,Cardio,721.0,1,,,,11641,
2024-03-03,Garmin Connect calorie adjustment,Cardio,333.0,1,,,,4680,
2024-03-04,"""Running (jogging), 5 mph (12 min mile)""",Cardio,109.0,14,,,,,
2024-03-04,"""Stair-treadmill ergometer, general""",Cardio,203.0,14,,,,,
2024-03-04,Garmin Connect calorie adjustment,Cardio,242.0,1,,,,8040,
2024-03-05,"""Strength training (weight lifting, weight training)""",Cardio,681.0,54,,,,,
2024-03-05,"""Walking, 2.5 mph, leisurely pace""",Cardio,535.0,88,,,,,
2024-03-05,"""Walking, 3.5 mph, brisk pace""",Cardio,159.0,18,,,,,
2024-03-05,Garmin Connect calorie adjustment,Cardio,388.0,1,,,,17643,
2024-03-06,"""Walking, 3.5 mph, brisk pace""",Cardio,205.0,28,,,,,
2024-03-06,"""Walking, 3.5 mph, brisk pace""",Cardio,261.0,36,,,,,
2024-03-06,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,8138,
2024-03-07,"""Strength training (weight lifting, weight training)""",Cardio,526.0,58,,,,,
2024-03-07,Garmin Connect calorie adjustment,Cardio,319.0,1,,,,11887,
2024-03-08,"""Strength training (weight lifting, weight training)""",Cardio,788.0,70,,,,,
2024-03-08,Garmin Connect calorie adjustment,Cardio,345.0,1,,,,9078,
2024-03-09,Garmin Connect calorie adjustment,Cardio,491.0,1,,,,13259,
2024-03-10,Garmin Connect calorie adjustment,Cardio,124.0,1,,,,3914,
2024-03-11,"""Stair-treadmill ergometer, general""",Cardio,452.0,30,,,,,
2024-03-11,Garmin Connect calorie adjustment,Cardio,142.0,1,,,,3842,
2024-03-12,Garmin Connect calorie adjustment,Cardio,320.0,1,,,,8300,
2024-03-13,"""Strength training (weight lifting, weight training)""",Cardio,828.0,69,,,,,
2024-03-13,Garmin Connect calorie adjustment,Cardio,116.0,1,,,,7549,
2024-03-14,"""Strength training (weight lifting, weight training)""",Cardio,348.0,32,,,,,
2024-03-14,Garmin Connect calorie adjustment,Cardio,417.0,1,,,,10213,
2024-03-15,Garmin Connect calorie adjustment,Cardio,182.0,1,,,,4131,
2024-03-16,"""Strength training (weight lifting, weight training)""",Cardio,766.0,76,,,,,
2024-03-16,Garmin Connect calorie adjustment,Cardio,650.0,1,,,,18871,
2024-03-17,Garmin Connect calorie adjustment,Cardio,200.0,1,,,,7121,
2024-03-18,"""Stair-treadmill ergometer, general""",Cardio,391.0,23,,,,,
2024-03-18,Garmin Connect calorie adjustment,Cardio,426.0,1,,,,9929,
2024-03-19,"""Strength training (weight lifting, weight training)""",Cardio,723.0,52,,,,,
2024-03-19,Garmin Connect calorie adjustment,Cardio,163.0,1,,,,7930,
2024-03-20,"""Strength training (weight lifting, weight training)""",Cardio,488.0,38,,,,,
2024-03-20,Garmin Connect calorie adjustment,Cardio,306.0,1,,,,6546,
2024-03-21,"""Strength training (weight lifting, weight training)""",Cardio,245.0,35,,,,,
2024-03-21,Garmin Connect calorie adjustment,Cardio,4.0,1,,,,2558,
2024-03-22,"""Stair-treadmill ergometer, general""",Cardio,332.0,23,,,,,
2024-03-22,Garmin Connect calorie adjustment,Cardio,307.0,1,,,,7031,
2024-03-23,"""Strength training (weight lifting, weight training)""",Cardio,449.0,40,,,,,
2024-03-23,Garmin Connect calorie adjustment,Cardio,811.0,1,,,,17154,
2024-03-24,Garmin Connect calorie adjustment,Cardio,312.0,1,,,,4046,
2024-03-25,"""Strength training (weight lifting, weight training)""",Cardio,368.0,36,,,,,
2024-03-25,Garmin Connect calorie adjustment,Cardio,190.0,1,,,,6798,
2024-03-26,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,241.0,23,,,,,
2024-03-26,"""Strength training (weight lifting, weight training)""",Cardio,442.0,41,,,,,
2024-03-26,Garmin Connect calorie adjustment,Cardio,299.0,1,,,,7561,
2024-03-27,"""Stair-treadmill ergometer, general""",Cardio,380.0,24,,,,,
2024-03-27,Garmin Connect calorie adjustment,Cardio,681.0,1,,,,11335,
2024-03-28,"""Strength training (weight lifting, weight training)""",Cardio,810.0,70,,,,,
2024-03-28,Garmin Connect calorie adjustment,Cardio,27.0,1,,,,4976,
2024-03-29,"""Strength training (weight lifting, weight training)""",Cardio,308.0,33,,,,,
2024-03-29,Garmin Connect calorie adjustment,Cardio,372.0,1,,,,8915,
2024-03-30,"""Strength training (weight lifting, weight training)""",Cardio,547.0,47,,,,,
2024-03-30,"""Strength training (weight lifting, weight training)""",Cardio,547.0,47,,,,,
2024-03-30,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,15693,
2024-03-31,Garmin Connect calorie adjustment,Cardio,550.0,1,,,,7613,
2024-04-01,"""Strength training (weight lifting, weight training)""",Cardio,828.0,71,,,,,
2024-04-01,Garmin Connect calorie adjustment,Cardio,145.0,1,,,,6668,
2024-04-02,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,144.0,16,,,,,
2024-04-02,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,133.0,12,,,,,
2024-04-02,Garmin Connect calorie adjustment,Cardio,296.0,1,,,,7382,
2024-04-03,"""Strength training (weight lifting, weight training)""",Cardio,425.0,42,,,,,
2024-04-03,Garmin Connect calorie adjustment,Cardio,276.0,1,,,,7251,
2024-04-04,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,129.0,11,,,,,
2024-04-04,"""Strength training (weight lifting, weight training)""",Cardio,259.0,23,,,,,
2024-04-04,Garmin Connect calorie adjustment,Cardio,657.0,1,,,,14537,
2024-04-05,"""Strength training (weight lifting, weight training)""",Cardio,671.0,58,,,,,
2024-04-05,Garmin Connect calorie adjustment,Cardio,274.0,1,,,,7548,
2024-04-06,Garmin Connect calorie adjustment,Cardio,685.0,1,,,,13118,
2024-04-07,Garmin Connect calorie adjustment,Cardio,1021.0,1,,,,22822,
2024-04-08,Garmin Connect calorie adjustment,Cardio,452.0,1,,,,10376,
2024-04-09,Garmin Connect calorie adjustment,Cardio,812.0,1,,,,18756,
2024-04-10,Garmin Connect calorie adjustment,Cardio,734.0,1,,,,13833,
2024-04-11,Garmin Connect calorie adjustment,Cardio,471.0,1,,,,10698,
2024-04-12,Garmin Connect calorie adjustment,Cardio,663.0,1,,,,13669,
2024-04-13,Garmin Connect calorie adjustment,Cardio,397.0,1,,,,11058,
2024-04-14,"""Strength training (weight lifting, weight training)""",Cardio,360.0,41,,,,,
2024-04-14,Garmin Connect calorie adjustment,Cardio,428.0,1,,,,15913,
2024-04-15,"""Strength training (weight lifting, weight training)""",Cardio,231.0,32,,,,,
2024-04-15,Garmin Connect calorie adjustment,Cardio,19.0,1,,,,3449,
2024-04-16,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,301.0,24,,,,,
2024-04-16,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,262.0,17,,,,,
2024-04-16,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,93.0,15,,,,,
2024-04-16,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,320.0,27,,,,,
2024-04-16,Garmin Connect calorie adjustment,Cardio,641.0,1,,,,11955,
2024-04-17,"""Strength training (weight lifting, weight training)""",Cardio,515.0,44,,,,,
2024-04-17,Garmin Connect calorie adjustment,Cardio,378.0,1,,,,10505,
2024-04-18,"""Strength training (weight lifting, weight training)""",Cardio,351.0,32,,,,,
2024-04-18,Garmin Connect calorie adjustment,Cardio,189.0,1,,,,7216,
2024-04-19,"""Strength training (weight lifting, weight training)""",Cardio,536.0,55,,,,,
2024-04-19,Garmin Connect calorie adjustment,Cardio,316.0,1,,,,9687,
2024-04-20,"""Strength training (weight lifting, weight training)""",Cardio,610.0,55,,,,,
2024-04-20,Garmin Connect calorie adjustment,Cardio,73.0,1,,,,3582,
2024-04-21,Garmin Connect calorie adjustment,Cardio,638.0,1,,,,15962,
2024-04-22,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,148.0,30,,,,,
2024-04-22,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,142.0,16,,,,,
2024-04-22,"""Running (jogging), 5 mph (12 min mile)""",Cardio,280.0,22,,,,,
2024-04-22,"""Stair-treadmill ergometer, general""",Cardio,95.0,6,,,,,
2024-04-22,Garmin Connect calorie adjustment,Cardio,339.0,1,,,,10933,
2024-04-23,Garmin Connect calorie adjustment,Cardio,410.0,1,,,,7486,
2024-04-24,Garmin Connect calorie adjustment,Cardio,499.0,1,,,,10989,
2024-04-25,Garmin Connect calorie adjustment,Cardio,20.0,1,,,,1228,
2024-04-26,Garmin Connect calorie adjustment,Cardio,267.0,1,,,,7260,
2024-04-27,Garmin Connect calorie adjustment,Cardio,327.0,1,,,,6711,
2024-04-28,Garmin Connect calorie adjustment,Cardio,503.0,1,,,,11276,
2024-04-29,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,215.0,21,,,,,
2024-04-29,"""Stair-treadmill ergometer, general""",Cardio,341.0,23,,,,,
2024-04-29,Garmin Connect calorie adjustment,Cardio,296.0,1,,,,7976,
2024-04-30,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,172.0,25,,,,,
2024-04-30,"""Strength training (weight lifting, weight training)""",Cardio,307.0,45,,,,,
2024-04-30,Garmin Connect calorie adjustment,Cardio,95.0,1,,,,6940,
2024-05-01,"""Strength training (weight lifting, weight training)""",Cardio,477.0,43,,,,,
2024-05-01,Garmin Connect calorie adjustment,Cardio,59.0,1,,,,6971,
2024-05-02,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,210.0,41,,,,,
2024-05-02,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,65.0,10,,,,,
2024-05-02,"""Running (jogging), 5 mph (12 min mile)""",Cardio,170.0,12,,,,,
2024-05-02,"""Stair-treadmill ergometer, general""",Cardio,242.0,16,,,,,
2024-05-02,Garmin Connect calorie adjustment,Cardio,360.0,1,,,,12025,
2024-05-03,"""Strength training (weight lifting, weight training)""",Cardio,624.0,68,,,,,
2024-05-03,Garmin Connect calorie adjustment,Cardio,158.0,1,,,,8668,
2024-05-04,"""Strength training (weight lifting, weight training)""",Cardio,527.0,50,,,,,
2024-05-04,Garmin Connect calorie adjustment,Cardio,754.0,1,,,,18915,
2024-05-05,"""Strength training (weight lifting, weight training)""",Cardio,207.0,36,,,,,
2024-05-05,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,5043,
2024-05-06,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,103.0,14,,,,,
2024-05-06,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,119.0,14,,,,,
2024-05-06,Garmin Connect calorie adjustment,Cardio,292.0,1,,,,9612,
2024-05-07,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,128.0,20,,,,,
2024-05-07,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,92.0,12,,,,,
2024-05-07,"""Strength training (weight lifting, weight training)""",Cardio,476.0,53,,,,,
2024-05-07,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,5264,
2024-05-08,Garmin Connect calorie adjustment,Cardio,197.0,1,,,,4266,
2024-05-09,"""Stair-treadmill ergometer, general""",Cardio,437.0,31,,,,,
2024-05-09,Garmin Connect calorie adjustment,Cardio,177.0,1,,,,5166,
2024-05-10,Garmin Connect calorie adjustment,Cardio,409.0,1,,,,9387,
2024-05-11,Garmin Connect calorie adjustment,Cardio,403.0,1,,,,11178,
2024-05-12,Garmin Connect calorie adjustment,Cardio,27.0,1,,,,1133,
2024-05-13,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,201.0,33,,,,,
2024-05-13,"""Strength training (weight lifting, weight training)""",Cardio,393.0,32,,,,,
2024-05-13,Garmin Connect calorie adjustment,Cardio,156.0,1,,,,6332,
2024-05-14,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,40.0,7,,,,,
2024-05-14,"""Stair-treadmill ergometer, general""",Cardio,262.0,18,,,,,
2024-05-14,Garmin Connect calorie adjustment,Cardio,285.0,1,,,,7198,
2024-05-15,Garmin Connect calorie adjustment,Cardio,162.0,1,,,,5666,
2024-05-16,"""Strength training (weight lifting, weight training)""",Cardio,200.0,26,,,,,
2024-05-16,Garmin Connect calorie adjustment,Cardio,404.0,1,,,,13224,
2024-05-17,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,307.0,29,,,,,
2024-05-17,"""Strength training (weight lifting, weight training)""",Cardio,198.0,29,,,,,
2024-05-17,Garmin Connect calorie adjustment,Cardio,289.0,1,,,,10901,
2024-05-18,"""Strength training (weight lifting, weight training)""",Cardio,427.0,56,,,,,
2024-05-18,Garmin Connect calorie adjustment,Cardio,373.0,1,,,,12483,
2024-05-19,"""Strength training (weight lifting, weight training)""",Cardio,437.0,58,,,,,
2024-05-19,Garmin Connect calorie adjustment,Cardio,158.0,1,,,,7993,
2024-05-20,"""Running (jogging), 5 mph (12 min mile)""",Cardio,75.0,9,,,,,
2024-05-20,Garmin Connect calorie adjustment,Cardio,576.0,1,,,,12029,
2024-05-21,"""Strength training (weight lifting, weight training)""",Cardio,551.0,62,,,,,
2024-05-21,Garmin Connect calorie adjustment,Cardio,63.0,1,,,,6170,
2024-05-22,Garmin Connect calorie adjustment,Cardio,138.0,1,,,,5635,
2024-05-23,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,193.0,39,,,,,
2024-05-23,Garmin Connect calorie adjustment,Cardio,286.0,1,,,,11282,
2024-05-24,Garmin Connect calorie adjustment,Cardio,205.0,1,,,,5591,
2024-05-25,Garmin Connect calorie adjustment,Cardio,720.0,1,,,,17252,
2024-05-26,Garmin Connect calorie adjustment,Cardio,408.0,1,,,,10407,
2024-05-27,"""Strength training (weight lifting, weight training)""",Cardio,453.0,48,,,,,
2024-05-27,Garmin Connect calorie adjustment,Cardio,92.0,1,,,,3716,
2024-05-28,"""Strength training (weight lifting, weight training)""",Cardio,356.0,51,,,,,
2024-05-28,Garmin Connect calorie adjustment,Cardio,287.0,1,,,,7546,
2024-05-29,"""Strength training (weight lifting, weight training)""",Cardio,294.0,41,,,,,
2024-05-29,Garmin Connect calorie adjustment,Cardio,1.0,1,,,,3398,
2024-05-30,"""Strength training (weight lifting, weight training)""",Cardio,237.0,31,,,,,
2024-05-30,Garmin Connect calorie adjustment,Cardio,398.0,1,,,,7002,
2024-05-31,Garmin Connect calorie adjustment,Cardio,442.0,1,,,,11815,
2024-06-01,Garmin Connect calorie adjustment,Cardio,400.0,1,,,,10607,
2024-06-02,"""Stair-treadmill ergometer, general""",Cardio,490.0,44,,,,,
2024-06-02,Garmin Connect calorie adjustment,Cardio,426.0,1,,,,10587,
2024-06-03,"""Strength training (weight lifting, weight training)""",Cardio,490.0,55,,,,,
2024-06-03,Garmin Connect calorie adjustment,Cardio,6.0,1,,,,4552,
2024-06-04,"""Strength training (weight lifting, weight training)""",Cardio,316.0,39,,,,,
2024-06-04,Garmin Connect calorie adjustment,Cardio,437.0,1,,,,8772,
2024-06-05,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,111.0,14,,,,,
2024-06-05,"""Strength training (weight lifting, weight training)""",Cardio,506.0,59,,,,,
2024-06-05,Garmin Connect calorie adjustment,Cardio,211.0,1,,,,8285,
2024-06-06,"""Strength training (weight lifting, weight training)""",Cardio,290.0,42,,,,,
2024-06-06,"""Walking, 3.5 mph, brisk pace""",Cardio,204.0,25,,,,,
2024-06-06,Garmin Connect calorie adjustment,Cardio,116.0,1,,,,9814,
2024-06-07,"""Stair-treadmill ergometer, general""",Cardio,340.0,23,,,,,
2024-06-07,Garmin Connect calorie adjustment,Cardio,661.0,1,,,,9885,
2024-06-08,Garmin Connect calorie adjustment,Cardio,539.0,1,,,,15337,
2024-06-09,Garmin Connect calorie adjustment,Cardio,104.0,1,,,,3538,
2024-06-10,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,223.0,28,,,,,
2024-06-10,"""Strength training (weight lifting, weight training)""",Cardio,407.0,44,,,,,
2024-06-10,Garmin Connect calorie adjustment,Cardio,292.0,1,,,,9439,
2024-06-11,"""Strength training (weight lifting, weight training)""",Cardio,380.0,48,,,,,
2024-06-11,Garmin Connect calorie adjustment,Cardio,608.0,1,,,,15674,
2024-06-12,"""Running (jogging), 5 mph (12 min mile)""",Cardio,301.0,26,,,,,
2024-06-12,Garmin Connect calorie adjustment,Cardio,376.0,1,,,,10712,
2024-06-13,"""Strength training (weight lifting, weight training)""",Cardio,232.0,33,,,,,
2024-06-13,Garmin Connect calorie adjustment,Cardio,333.0,1,,,,11187,
2024-06-14,Garmin Connect calorie adjustment,Cardio,65.0,1,,,,3250,
2024-06-15,Garmin Connect calorie adjustment,Cardio,380.0,1,,,,9150,
2024-06-16,"""Strength training (weight lifting, weight training)""",Cardio,345.0,48,,,,,
2024-06-16,Garmin Connect calorie adjustment,Cardio,106.0,1,,,,6577,
2024-06-17,Garmin Connect calorie adjustment,Cardio,183.0,1,,,,6191,
2024-06-18,"""Strength training (weight lifting, weight training)""",Cardio,177.0,31,,,,,
2024-06-18,Garmin Connect calorie adjustment,Cardio,97.0,1,,,,5168,
2024-06-19,Garmin Connect calorie adjustment,Cardio,506.0,1,,,,13162,
2024-06-20,Garmin Connect calorie adjustment,Cardio,549.0,1,,,,13169,
2024-06-21,Garmin Connect calorie adjustment,Cardio,890.0,1,,,,21903,
2024-06-22,Garmin Connect calorie adjustment,Cardio,975.0,1,,,,24579,
2024-06-23,"""Strength training (weight lifting, weight training)""",Cardio,335.0,41,,,,,
2024-06-23,Garmin Connect calorie adjustment,Cardio,521.0,1,,,,13320,
2024-06-24,Garmin Connect calorie adjustment,Cardio,347.0,1,,,,6755,
2024-06-25,"""Strength training (weight lifting, weight training)""",Cardio,352.0,40,,,,,
2024-06-25,Garmin Connect calorie adjustment,Cardio,502.0,1,,,,11415,
2024-06-26,Garmin Connect calorie adjustment,Cardio,235.0,1,,,,9610,
2024-06-27,"""Strength training (weight lifting, weight training)""",Cardio,514.0,57,,,,,
2024-06-27,Garmin Connect calorie adjustment,Cardio,129.0,1,,,,7453,
2024-06-28,Garmin Connect calorie adjustment,Cardio,666.0,1,,,,10225,
2024-06-29,Garmin Connect calorie adjustment,Cardio,903.0,1,,,,15036,
2024-06-30,"""Strength training (weight lifting, weight training)""",Cardio,588.0,66,,,,,
2024-06-30,Garmin Connect calorie adjustment,Cardio,162.0,1,,,,7487,
2024-07-01,"""Strength training (weight lifting, weight training)""",Cardio,642.0,65,,,,,
2024-07-01,Garmin Connect calorie adjustment,Cardio,192.0,1,,,,7267,
2024-07-02,"""Strength training (weight lifting, weight training)""",Cardio,77.0,8,,,,,
2024-07-02,Garmin Connect calorie adjustment,Cardio,523.0,1,,,,12326,
2024-07-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,147.0,18,,,,,
2024-07-03,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,101.0,25,,,,,
2024-07-03,Garmin Connect calorie adjustment,Cardio,428.0,1,,,,14174,
2024-07-04,"""Strength training (weight lifting, weight training)""",Cardio,167.0,37,,,,,
2024-07-04,Garmin Connect calorie adjustment,Cardio,855.0,1,,,,10329,
2024-07-05,"""Strength training (weight lifting, weight training)""",Cardio,178.0,37,,,,,
2024-07-05,Garmin Connect calorie adjustment,Cardio,374.0,1,,,,9648,
2024-07-06,Garmin Connect calorie adjustment,Cardio,825.0,1,,,,15866,
2024-07-07,Garmin Connect calorie adjustment,Cardio,529.0,1,,,,10171,
2024-07-08,"""Strength training (weight lifting, weight training)""",Cardio,183.0,34,,,,,
2024-07-08,Garmin Connect calorie adjustment,Cardio,560.0,1,,,,15686,
2024-07-09,Garmin Connect calorie adjustment,Cardio,365.0,1,,,,9758,
2024-07-10,Garmin Connect calorie adjustment,Cardio,490.0,1,,,,14473,
2024-07-11,Garmin Connect calorie adjustment,Cardio,334.0,1,,,,8708,
2024-07-12,Garmin Connect calorie adjustment,Cardio,307.0,1,,,,7117,
2024-07-13,Garmin Connect calorie adjustment,Cardio,431.0,1,,,,5958,
2024-07-14,Garmin Connect calorie adjustment,Cardio,938.0,1,,,,14336,
2024-07-15,Garmin Connect calorie adjustment,Cardio,723.0,1,,,,9747,
2024-07-16,Garmin Connect calorie adjustment,Cardio,611.0,1,,,,10855,
2024-07-17,Garmin Connect calorie adjustment,Cardio,672.0,1,,,,12135,
2024-07-18,Garmin Connect calorie adjustment,Cardio,506.0,1,,,,9065,
2024-07-19,Garmin Connect calorie adjustment,Cardio,669.0,1,,,,6843,
2024-07-20,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,189.0,17,,,,,
2024-07-20,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,354.0,32,,,,,
2024-07-20,"""Strength training (weight lifting, weight training)""",Cardio,442.0,52,,,,,
2024-07-20,Garmin Connect calorie adjustment,Cardio,120.0,1,,,,4998,
2024-07-21,Garmin Connect calorie adjustment,Cardio,564.0,1,,,,14349,
2024-07-22,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,205.0,24,,,,,
2024-07-22,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,244.0,34,,,,,
2024-07-22,"""Strength training (weight lifting, weight training)""",Cardio,570.0,74,,,,,
2024-07-22,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,5951,
2024-07-23,Garmin Connect calorie adjustment,Cardio,439.0,1,,,,10349,
2024-07-24,Garmin Connect calorie adjustment,Cardio,200.0,1,,,,8005,
2024-07-25,"""Strength training (weight lifting, weight training)""",Cardio,574.0,52,,,,,
2024-07-25,Garmin Connect calorie adjustment,Cardio,188.0,1,,,,6639,
2024-07-26,"""Strength training (weight lifting, weight training)""",Cardio,419.0,66,,,,,
2024-07-26,Garmin Connect calorie adjustment,Cardio,403.0,1,,,,12781,
2024-07-27,Garmin Connect calorie adjustment,Cardio,654.0,1,,,,16844,
2024-07-28,"""Running (jogging), 5 mph (12 min mile)""",Cardio,198.0,24,,,,,
2024-07-28,Garmin Connect calorie adjustment,Cardio,542.0,1,,,,13908,
2024-07-29,"""Strength training (weight lifting, weight training)""",Cardio,316.0,57,,,,,
2024-07-29,Garmin Connect calorie adjustment,Cardio,417.0,1,,,,12368,
2024-07-30,"""Running (jogging), 5 mph (12 min mile)""",Cardio,290.0,37,,,,,
2024-07-30,Garmin Connect calorie adjustment,Cardio,103.0,1,,,,10530,
2024-07-31,"""Running (jogging), 5 mph (12 min mile)""",Cardio,177.0,20,,,,,
2024-07-31,"""Walking, 3.0 mph, mod. pace""",Cardio,379.0,46,,,,,
2024-07-31,Garmin Connect calorie adjustment,Cardio,300.0,1,,,,18868,
2024-08-01,"""Strength training (weight lifting, weight training)""",Cardio,116.0,12,,,,,
2024-08-01,Garmin Connect calorie adjustment,Cardio,389.0,1,,,,10691,
2024-08-02,Garmin Connect calorie adjustment,Cardio,476.0,1,,,,11936,
2024-08-03,Garmin Connect calorie adjustment,Cardio,491.0,1,,,,16169,
2024-08-04,Garmin Connect calorie adjustment,Cardio,350.0,1,,,,13323,
2024-08-05,"""Strength training (weight lifting, weight training)""",Cardio,121.0,22,,,,,
2024-08-05,Garmin Connect calorie adjustment,Cardio,461.0,1,,,,14780,
2024-08-06,"""Running (jogging), 5 mph (12 min mile)""",Cardio,116.0,22,,,,,
2024-08-06,Garmin Connect calorie adjustment,Cardio,515.0,1,,,,18223,
2024-08-07,Garmin Connect calorie adjustment,Cardio,147.0,1,,,,7178,
2024-08-08,"""Strength training (weight lifting, weight training)""",Cardio,342.0,37,,,,,
2024-08-08,Garmin Connect calorie adjustment,Cardio,56.0,1,,,,3976,
2024-08-09,"""Strength training (weight lifting, weight training)""",Cardio,175.0,26,,,,,
2024-08-09,Garmin Connect calorie adjustment,Cardio,147.0,1,,,,5057,
2024-08-10,"""Strength training (weight lifting, weight training)""",Cardio,396.0,67,,,,,
2024-08-10,"""Walking, 2.5 mph, leisurely pace""",Cardio,290.0,44,,,,,
2024-08-10,Garmin Connect calorie adjustment,Cardio,367.0,1,,,,17761,
2024-08-11,"""Walking, 2.5 mph, leisurely pace""",Cardio,253.0,50,,,,,
2024-08-11,"""Walking, 3.5 mph, brisk pace""",Cardio,477.0,71,,,,,
2024-08-11,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,8598,
2024-08-12,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,152.0,17,,,,,
2024-08-12,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,180.0,18,,,,,
2024-08-12,"""Strength training (weight lifting, weight training)""",Cardio,442.0,43,,,,,
2024-08-12,Garmin Connect calorie adjustment,Cardio,221.0,1,,,,8792,
2024-08-13,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,124.0,12,,,,,
2024-08-13,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,133.0,12,,,,,
2024-08-13,"""Strength training (weight lifting, weight training)""",Cardio,413.0,44,,,,,
2024-08-13,Garmin Connect calorie adjustment,Cardio,379.0,1,,,,13106,
2024-08-14,"""Strength training (weight lifting, weight training)""",Cardio,382.0,71,,,,,
2024-08-14,Garmin Connect calorie adjustment,Cardio,453.0,1,,,,12426,
2024-08-15,"""Walking, 3.0 mph, mod. pace""",Cardio,384.0,69,,,,,
2024-08-15,Garmin Connect calorie adjustment,Cardio,146.0,1,,,,15538,
2024-08-16,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,55.0,12,,,,,
2024-08-16,"""Strength training (weight lifting, weight training)""",Cardio,484.0,62,,,,,
2024-08-16,Garmin Connect calorie adjustment,Cardio,440.0,1,,,,13665,
2024-08-17,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,94.0,19,,,,,
2024-08-17,"""Strength training (weight lifting, weight training)""",Cardio,546.0,65,,,,,
2024-08-17,Garmin Connect calorie adjustment,Cardio,205.0,1,,,,15693,
2024-08-18,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,144.0,17,,,,,
2024-08-18,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,92.0,14,,,,,
2024-08-18,"""Strength training (weight lifting, weight training)""",Cardio,100.0,31,,,,,
2024-08-18,Garmin Connect calorie adjustment,Cardio,459.0,1,,,,12159,
2024-08-19,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,447.0,39,,,,,
2024-08-19,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,257.0,25,,,,,
2024-08-19,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,399.0,67,,,,,
2024-08-19,"""Bicycling, <10 mph, leisure (cycling, biking, bike riding)""",Cardio,128.0,20,,,,,
2024-08-19,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,5623,
2024-08-20,"""Strength training (weight lifting, weight training)""",Cardio,378.0,54,,,,,
