CAS Number;Chemical Name;SMILES;Species Scientific Name;Species Common Name;Species Sub Phylum;Effect;Organism Lifestage;Exposure Duration Mean (Days);Conc 1 Mean (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Units (Standardized)
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Osteichthyes;Bony Fishes;Vertebrata;Mortality;Juvenile;NR;0.028;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0004;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0008;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0055;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0004;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0032;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.00055;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Osteichthyes;Bony Fishes;Vertebrata;Mortality;Juvenile;NR;0.018;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Fundulus majalis;Striped Killifish;Vertebrata;Mortality;Not reported;NR;0.002;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Fundulus majalis;Striped Killifish;Vertebrata;Mortality;Not reported;NR;0.003;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Not reported;NR;0.0076;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Carassius sp.;Carp;Vertebrata;Mortality;Fry;NR;0.71;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Not reported;NR;0.042;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Not reported;NR;1.4;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Tinca tinca;Tench;Vertebrata;Mortality;Fry;NR;0.37;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil curema;White Mullet;Vertebrata;Mortality;Juvenile;NR;0.0008;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil curema;White Mullet;Vertebrata;Mortality;Juvenile;NR;0.0004;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Salvelinus sp.;Trout, Charr;Vertebrata;Mortality;Fry;NR;0.046;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Not reported;NR;0.00045;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Cyprinodontidae;Killifish, Topminnow Family;Vertebrata;Mortality;Not reported;NR;0.012;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Lepomis microlophus;Redear Sunfish;Vertebrata;Mortality;Not reported;NR;0.005;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Osteichthyes;Bony Fishes;Vertebrata;Mortality;Not reported;NR;0.24;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Not reported;NR;8.51;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Not reported;NR;0.019;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.017;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.17;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.0031;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;14.2;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.013;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.003;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0009;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Fundulus majalis;Striped Killifish;Vertebrata;Mortality;Not reported;NR;0.001;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.006;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Thalassoma bifasciatum;Bluehead Wrasse;Vertebrata;Mortality;Not reported;NR;0.004;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Sphoeroides maculatus;Northern Puffer;Vertebrata;Mortality;Not reported;NR;0.089;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Anguilla rostrata;American Eel;Vertebrata;Mortality;Not reported;NR;0.004;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.007;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.004;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Anguilla rostrata;American Eel;Vertebrata;Mortality;Not reported;NR;0.007;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Sphoeroides maculatus;Northern Puffer;Vertebrata;Mortality;Not reported;NR;0.089;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Mugil cephalus;Striped Mullet;Vertebrata;Mortality;Not reported;NR;0.0009;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Sphoeroides maculatus;Northern Puffer;Vertebrata;Mortality;Not reported;NR;0.115;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Morone saxatilis;Striped Bass;Vertebrata;Mortality;Juvenile;NR;0.00053;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Thalassoma bifasciatum;Bluehead Wrasse;Vertebrata;Mortality;Not reported;NR;0.007;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Thalassoma bifasciatum;Bluehead Wrasse;Vertebrata;Mortality;Not reported;NR;0.017;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Anguilla rostrata;American Eel;Vertebrata;Mortality;Not reported;NR;0.006;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Channa punctata;Snake-Head Catfish;Vertebrata;Mortality;Juvenile;NR;0.121;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Not reported;NR;0.095;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Not reported;NR;0.0279;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;8;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.01;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;10.7;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Heteropneustes fossilis;Indian Catfish;Vertebrata;Mortality;Not reported;NR;3.02;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Heteropneustes fossilis;Indian Catfish;Vertebrata;Mortality;Not reported;NR;25;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Not reported;NR;0.0549;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.02;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.001;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Clarias batrachus;Walking Catfish;Vertebrata;Mortality;Not reported;NR;0.018;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.11;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Cyprinidae;Minnow,Carp Family;Vertebrata;Mortality;Not reported;NR;0.25;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Cyprinidae;Minnow,Carp Family;Vertebrata;Mortality;Not reported;NR;0.068;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Oncorhynchus clarkii;Cutthroat Trout;Vertebrata;Mortality;Not reported;NR;0.00085;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Oncorhynchus clarkii;Cutthroat Trout;Vertebrata;Mortality;Not reported;NR;0.00137;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Barbus dorsalis;Two Spot African Barb;Vertebrata;Mortality;Not reported;NR;0.086;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Oreochromis mossambicus;Mozambique Tilapia;Vertebrata;Mortality;Not reported;NR;3.54;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Heteropneustes fossilis;Indian Catfish;Vertebrata;Mortality;Not reported;NR;10.47;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Colisa fasciata;Giant Gourami;Vertebrata;Mortality;Not reported;NR;0.23;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Colisa fasciata;Giant Gourami;Vertebrata;Mortality;Not reported;NR;0.12;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Barbus dorsalis;Two Spot African Barb;Vertebrata;Mortality;Not reported;NR;0.048;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Barbus dorsalis;Two Spot African Barb;Vertebrata;Mortality;Not reported;NR;0.086;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.00054;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.14;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Carassius carassius;Crucian Carp;Vertebrata;Mortality;Not reported;NR;0.08;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Clarias batrachus;Walking Catfish;Vertebrata;Mortality;Not reported;NR;0.0085;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.2;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Clarias batrachus;Walking Catfish;Vertebrata;Mortality;Not reported;NR;0.0042;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Leuciscus idus ssp. melanotus;Carp;Vertebrata;Mortality;Not reported;NR;0.2;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Clarias batrachus;Walking Catfish;Vertebrata;Mortality;Not reported;NR;0.00175;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Heteropneustes fossilis;Indian Catfish;Vertebrata;Mortality;Not reported;NR;2.95;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Heteropneustes fossilis;Indian Catfish;Vertebrata;Mortality;Not reported;NR;3.55;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.0038;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Girella punctata;Green Fish;Vertebrata;Mortality;Not reported;NR;0.006;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Fry;NR;0.02769;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Tilapia zillii;Tilapia;Vertebrata;Mortality;Fry;NR;0.01278;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Tilapia zillii;Tilapia;Vertebrata;Mortality;Fry;NR;0.00952;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Micrometrus minimus;Dwarf Perch;Vertebrata;Mortality;Not reported;NR;0.00026;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Tilapia spilurus;Cichlid;Vertebrata;Mortality;Not reported;NR;0.25;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Tilapia zillii;Tilapia;Vertebrata;Mortality;Fry;NR;0.0095;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Seriola quinqueradiata;Yellowtail;Vertebrata;Mortality;Not reported;NR;0.0065;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Channa punctata;Snake-Head Catfish;Vertebrata;Mortality;Not reported;NR;0.0214;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Tilapia zillii;Tilapia;Vertebrata;Mortality;Fry;NR;0.042;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Channa punctata;Snake-Head Catfish;Vertebrata;Mortality;Not reported;NR;0.083;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Gambusia affinis;Western Mosquitofish;Vertebrata;Mortality;Not reported;NR;0.06;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Tilapia zillii;Tilapia;Vertebrata;Mortality;Fry;NR;0.063;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Micrometrus minimus;Dwarf Perch;Vertebrata;Mortality;Not reported;NR;0.0046;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Rasbora heteromorpha;Harlequinfish, Red Rasbora;Vertebrata;Mortality;Not reported;NR;0.0014;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Oncorhynchus clarkii;Cutthroat Trout;Vertebrata;Mortality;Not reported;NR;0.00163;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Micropterus salmoides;Largemouth Bass;Vertebrata;Mortality;Not reported;NR;0.0018;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Ptychocheilus oregonensis;Northern Pikeminnow;Vertebrata;Mortality;Juvenile;NR;0.034;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Ptychocheilus oregonensis;Northern Pikeminnow;Vertebrata;Mortality;Post-larva;NR;0.151;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Ptychocheilus oregonensis;Northern Pikeminnow;Vertebrata;Mortality;Juvenile;NR;0.04;;AI mg/L
50-29-3;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;Liza macrolepis;Borneo Mullet;Vertebrata;Mortality;Not reported;NR;0.016;;AI mg/L
