Name;SMILES
Cc1noc(C(C)(C)NC(=O)Nc2cc(C3CCCOC3)nn2C)n1;Cc1noc(C(C)(C)NC(=O)Nc2cc(C3CCCOC3)nn2C)n1
O=C(Nc1cnn(CCO)c1)Nc1nc(-c2ccccc2)cs1;O=C(Nc1cnn(CCO)c1)Nc1nc(-c2ccccc2)cs1
Cc1ccc(NC(=O)Nc2ccn(C)n2)cc1C(=O)N(C)C(C)C;Cc1ccc(NC(=O)Nc2ccn(C)n2)cc1C(=O)N(C)C(C)C
COc1cncnc1NC(=O)Nc1ccc(CN(C(C)=O)C(C)C)cc1;COc1cncnc1NC(=O)Nc1ccc(CN(C(C)=O)C(C)C)cc1
COc1ccc(S(=O)(=O)NC(C)(C)C(=O)Nc2ccc(OC)cc2OC)cc1;COc1ccc(S(=O)(=O)NC(C)(C)C(=O)Nc2ccc(OC)cc2OC)cc1
Cc1cc2nc(NC(=O)Nc3ccn(CCN(C)C)n3)cc(N(C)C)n2n1;Cc1cc2nc(NC(=O)Nc3ccn(CCN(C)C)n3)cc(N(C)C)n2n1
Cc1cc(N(C)C)nc(NC(=O)Nc2cccc(CCC(=O)O)c2)n1;Cc1cc(N(C)C)nc(NC(=O)Nc2cccc(CCC(=O)O)c2)n1
O=C(NCc1nc2cccnc2[nH]1)Nc1ccc2c(c1)OCO2;O=C(NCc1nc2cccnc2[nH]1)Nc1ccc2c(c1)OCO2
COc1cc([N+](=O)[O-])ccc1NC(=O)Nc1cc(C)on1;COc1cc([N+](=O)[O-])ccc1NC(=O)Nc1cc(C)on1
COc1ccc(NC(=O)NCc2n[nH]c(=O)c3ccccc23)c(OC)c1;COc1ccc(NC(=O)NCc2n[nH]c(=O)c3ccccc23)c(OC)c1
O=C(Nc1ccc2c(c1)CCC2=O)Nc1ccn(C2CCOCC2)n1;O=C(Nc1ccc2c(c1)CCC2=O)Nc1ccn(C2CCOCC2)n1
CCOc1ccc(NC(=O)NC(C)c2ccccn2)cc1;CCOc1ccc(NC(=O)NC(C)c2ccccn2)cc1
COc1ccc(NC(=O)Nc2nnc(-c3ccccc3SCc3ccccc3)s2)cc1;COc1ccc(NC(=O)Nc2nnc(-c3ccccc3SCc3ccccc3)s2)cc1
Oc1ccc(/N=N/c2cccc(C(F)(F)F)c2)cc1/C=N/Nc1n/c(=N/c2ccccc2)nc(N2CCOCC2)[nH]1;Oc1ccc(/N=N/c2cccc(C(F)(F)F)c2)cc1/C=N/Nc1n/c(=N/c2ccccc2)nc(N2CCOCC2)[nH]1
